filename,monument_name,datetime,caption,include,exclude_reason,section,orientation,cover_candidate,docushare_url
"Acton-Boxborough Central Street, 2024-10-22 18-03.jpg",Acton/Boxborough Central Street,2024-10-22 18-03,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-98981/Acton-Boxborough Central Street%2c 2024-10-22 18-03.jpg
"Acton-Boxborough Central Street, 2024-10-22 18-04, Context with town line sign.jpg",Acton/Boxborough Central Street,2024-10-22 18-04,Context with town line sign,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-98982/Acton-Boxborough Central Street%2c 2024-10-22 18-04%2c Context with town line sign.jpg
"Acton-Boxborough Central Street, 2024-10-22 18-04.jpg",Acton/Boxborough Central Street,2024-10-22 18-04,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-98983/Acton-Boxborough Central Street%2c 2024-10-22 18-04.jpg
"Acton-Boxborough Central Street, 2025-09-16 10-52.jpg",Acton/Boxborough Central Street,2025-09-16 10-52,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-98984/Acton-Boxborough Central Street%2c 2025-09-16 10-52.jpg
"Acton-Boxborough Central Street, 2025-09-16 10-53.jpg",Acton/Boxborough Central Street,2025-09-16 10-53,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-98985/Acton-Boxborough Central Street%2c 2025-09-16 10-53.jpg
"Acton-Boxborough Littlefield Road, 2025-09-16 10-39.jpg",Acton/Boxborough Littlefield Road,2025-09-16 10-39,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-98986/Acton-Boxborough Littlefield Road%2c 2025-09-16 10-39.jpg
"Acton-Boxborough Littlefield Road, 2025-10-31 15-01, 2.jpg",Acton/Boxborough Littlefield Road,2025-10-31 15-01,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-98987/Acton-Boxborough Littlefield Road%2c 2025-10-31 15-01%2c 2.jpg
"Acton-Boxborough Littlefield Road, 2025-10-31 15-01.jpg",Acton/Boxborough Littlefield Road,2025-10-31 15-01,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-98994/Acton-Boxborough Littlefield Road%2c 2025-10-31 15-01.jpg
"Acton-Boxborough Littlefield Road, 2025-11-06 13-53, 2.jpg",Acton/Boxborough Littlefield Road,2025-11-06 13-53,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-98990/Acton-Boxborough Littlefield Road%2c 2025-11-06 13-53%2c 2.jpg
"Acton-Boxborough Littlefield Road, 2025-11-06 13-53, 3.jpg",Acton/Boxborough Littlefield Road,2025-11-06 13-53,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-98991/Acton-Boxborough Littlefield Road%2c 2025-11-06 13-53%2c 3.jpg
"Acton-Boxborough Littlefield Road, 2025-11-06 13-53, 4.jpg",Acton/Boxborough Littlefield Road,2025-11-06 13-53,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-98992/Acton-Boxborough Littlefield Road%2c 2025-11-06 13-53%2c 4.jpg
"Acton-Boxborough Littlefield Road, 2025-11-06 13-53.jpg",Acton/Boxborough Littlefield Road,2025-11-06 13-53,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-98993/Acton-Boxborough Littlefield Road%2c 2025-11-06 13-53.jpg
"Acton-Boxborough Littlefield Road, 2025-11-06 14-15, 2.jpg",Acton/Boxborough Littlefield Road,2025-11-06 14-15,,yes,,monument,landscape,yes,https://doc.actonma.gov/dsweb/Get/Document-99164/Acton-Boxborough Littlefield Road%2c 2025-11-06 14-15%2c 2.jpg
"Acton-Boxborough Littlefield Road, 2025-11-06 14-15.jpg",Acton/Boxborough Littlefield Road,2025-11-06 14-15,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99165/Acton-Boxborough Littlefield Road%2c 2025-11-06 14-15.jpg
"Acton-Boxborough Mass Ave (Rte 111), 2026-07-13 12-54.jpg",Acton/Boxborough Mass Ave (Rte 111),2026-07-13 12-54,,yes,,monument,,,https://doc.actonma.gov/dsweb/Get/Document-99292/Acton-Boxborough Mass Ave (Rte 111)%2c 2026-07-13 12-54.jpg
"Acton-Boxborough Summer Street, 2025-09-16 09-41, A view of the equipment.jpg",Acton/Boxborough Summer Street,2025-09-16 09-41,A view of the equipment,yes,may belong in intro,intro,,,https://doc.actonma.gov/dsweb/Get/Document-98995/Acton-Boxborough Summer Street%2c 2025-09-16 09-41%2c A view of the equipment.jpg
"Acton-Boxborough Summer Street, 2025-09-16 09-49.jpg",Acton/Boxborough Summer Street,2025-09-16 09-49,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-98996/Acton-Boxborough Summer Street%2c 2025-09-16 09-49.jpg
"Acton-Boxborough Summer Street, 2025-09-16 09-52, 2.jpg",Acton/Boxborough Summer Street,2025-09-16 09-52,,no,redundant,monument,,,https://doc.actonma.gov/dsweb/Get/Document-98998/Acton-Boxborough Summer Street%2c 2025-09-16 09-52%2c 2.jpg
"Acton-Boxborough Summer Street, 2025-09-16 09-52.jpg",Acton/Boxborough Summer Street,2025-09-16 09-52,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-98999/Acton-Boxborough Summer Street%2c 2025-09-16 09-52.jpg
"Acton-Boxborough Summer Street, 2025-09-16 09-53.jpg",Acton/Boxborough Summer Street,2025-09-16 09-53,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99000/Acton-Boxborough Summer Street%2c 2025-09-16 09-53.jpg
"Acton-Boxborough-Stow, 2024-06-28 15-11.jpg",Acton/Boxborough/Stow,2024-06-28 15-11,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-98964/Acton-Boxborough-Stow%2c 2024-06-28 15-11.jpg
"Acton-Boxborough-Stow, 2024-06-28 15-13, 2.jpg",Acton/Boxborough/Stow,2024-06-28 15-13,,no,redundant,monument,,,https://doc.actonma.gov/dsweb/Get/Document-98965/Acton-Boxborough-Stow%2c 2024-06-28 15-13%2c 2.jpg
"Acton-Boxborough-Stow, 2024-06-28 15-13.jpg",Acton/Boxborough/Stow,2024-06-28 15-13,Still leaning,yes,,monument,landscape,yes,https://doc.actonma.gov/dsweb/Get/Document-98966/Acton-Boxborough-Stow%2c 2024-06-28 15-13.jpg
"Acton-Boxborough-Stow, 2025-09-16 10-13.jpg",Acton/Boxborough/Stow,2025-09-16 10-13,,no,doesn’t add much,monument,,,https://doc.actonma.gov/dsweb/Get/Document-98967/Acton-Boxborough-Stow%2c 2025-09-16 10-13.jpg
"Acton-Boxborough-Stow, 2025-09-16 10-18, Impinging tree being cleared.jpg",Acton/Boxborough/Stow,2025-09-16 10-18,Impinging tree being cleared,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-98968/Acton-Boxborough-Stow%2c 2025-09-16 10-18%2c Impinging tree being cleared.jpg
"Acton-Boxborough-Stow, 2025-09-16 10-20.jpg",Acton/Boxborough/Stow,2025-09-16 10-20,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-98969/Acton-Boxborough-Stow%2c 2025-09-16 10-20.jpg
"Acton-Boxborough-Stow, 2025-09-16 10-21, 2.jpg",Acton/Boxborough/Stow,2025-09-16 10-21,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-98970/Acton-Boxborough-Stow%2c 2025-09-16 10-21%2c 2.jpg
"Acton-Boxborough-Stow, 2025-09-16 10-21.jpg",Acton/Boxborough/Stow,2025-09-16 10-21,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-98971/Acton-Boxborough-Stow%2c 2025-09-16 10-21.jpg
"Acton-Carlisle 1, 2025-06-30 14-15, Wide context from Ben's Woods.jpg",Acton/Carlisle 1,2025-06-30 14-15,Wide context from Ben's Woods,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99001/Acton-Carlisle 1%2c 2025-06-30 14-15%2c Wide context from Ben_s Woods.jpg
"Acton-Carlisle 1, 2025-06-30 14-19, 2.jpg",Acton/Carlisle 1,2025-06-30 14-19,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99002/Acton-Carlisle 1%2c 2025-06-30 14-19%2c 2.jpg
"Acton-Carlisle 1, 2025-06-30 14-19.jpg",Acton/Carlisle 1,2025-06-30 14-19,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99003/Acton-Carlisle 1%2c 2025-06-30 14-19.jpg
"Acton-Carlisle 1, 2025-06-30 14-21, Acton side after painting.jpg",Acton/Carlisle 1,2025-06-30 14-21,Acton side after painting,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99004/Acton-Carlisle 1%2c 2025-06-30 14-21%2c Acton side after painting.jpg
"Acton-Carlisle 1, 2025-06-30 14-23.jpg",Acton/Carlisle 1,2025-06-30 14-23,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99005/Acton-Carlisle 1%2c 2025-06-30 14-23.jpg
"Acton-Carlisle 2, 2025-03-25 11-22, 2.jpg",Acton/Carlisle 2,2025-03-25 11-22,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99006/Acton-Carlisle 2%2c 2025-03-25 11-22%2c 2.jpg
"Acton-Carlisle 2, 2025-03-25 11-22.jpg",Acton/Carlisle 2,2025-03-25 11-22,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99007/Acton-Carlisle 2%2c 2025-03-25 11-22.jpg
"Acton-Carlisle 2, 2025-03-25 11-23.jpg",Acton/Carlisle 2,2025-03-25 11-23,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99008/Acton-Carlisle 2%2c 2025-03-25 11-23.jpg
"Acton-Carlisle 2, 2025-06-30 14-50, 2.jpg",Acton/Carlisle 2,2025-06-30 14-50,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99009/Acton-Carlisle 2%2c 2025-06-30 14-50%2c 2.jpg
"Acton-Carlisle 2, 2025-06-30 14-50.jpg",Acton/Carlisle 2,2025-06-30 14-50,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99010/Acton-Carlisle 2%2c 2025-06-30 14-50.jpg
"Acton-Carlisle Main Street (Rte 27), 2024-10-30 12-22.jpg",Acton/Carlisle Main Street (Rte 27),2024-10-30 12-22,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99011/Acton-Carlisle Main Street (Rte 27)%2c 2024-10-30 12-22.jpg
"Acton-Carlisle Main Street (Rte 27), 2024-10-30 12-23, Context from the north.jpg",Acton/Carlisle Main Street (Rte 27),2024-10-30 12-23,Context from the north,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99012/Acton-Carlisle Main Street (Rte 27)%2c 2024-10-30 12-23%2c Context from the north.jpg
"Acton-Carlisle Main Street (Rte 27), 2025-06-30 15-09, 2.jpg",Acton/Carlisle Main Street (Rte 27),2025-06-30 15-09,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99013/Acton-Carlisle Main Street (Rte 27)%2c 2025-06-30 15-09%2c 2.jpg
"Acton-Carlisle Main Street (Rte 27), 2025-06-30 15-09.jpg",Acton/Carlisle Main Street (Rte 27),2025-06-30 15-09,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99014/Acton-Carlisle Main Street (Rte 27)%2c 2025-06-30 15-09.jpg
"Acton-Carlisle Main Street (Rte 27), 2025-06-30 15-11.jpg",Acton/Carlisle Main Street (Rte 27),2025-06-30 15-11,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99166/Acton-Carlisle Main Street (Rte 27)%2c 2025-06-30 15-11.jpg
"Acton-Carlisle Main Street (Rte 27), 2025-06-30 15-13, After painting.jpg",Acton/Carlisle Main Street (Rte 27),2025-06-30 15-13,After painting,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99015/Acton-Carlisle Main Street (Rte 27)%2c 2025-06-30 15-13%2c After painting.jpg
"Acton-Carlisle-Concord, 2025-06-30 13-38, ""W M"" means this is a witness marker, near but not at the actual corner..jpg",Acton/Carlisle/Concord,2025-06-30 13-38,"""W M"" means this is a witness marker, near but not at the actual corner.",yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99016/Acton-Carlisle-Concord%2c 2025-06-30 13-38%2c _22W M_22 means this is a witness marker%2c near but not at the actual corner..jpg
"Acton-Carlisle-Concord, 2025-06-30 13-38, 2007 installation not at actual corner but offset at 394 Pope Road into stone wall.jpg",Acton/Carlisle/Concord,2025-06-30 13-38,2007 installation not at actual corner but offset at 394 Pope Road into stone wall,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99017/Acton-Carlisle-Concord%2c 2025-06-30 13-38%2c 2007 installation not at actual corner but offset at 394 Pope Road into stone wall.jpg
"Acton-Carlisle-Concord, 2025-06-30 13-41, Acton side after painting.jpg",Acton/Carlisle/Concord,2025-06-30 13-41,Acton side after painting,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99018/Acton-Carlisle-Concord%2c 2025-06-30 13-41%2c Acton side after painting.jpg
"Acton-Carlisle-Westford, 2024-10-30 15-20, Context from Rte 27: Marker is up the embankment.jpg",Acton/Carlisle/Westford,2024-10-30 15-20,Context from Rte 27: Marker is up the embankment,yes,,monument,landscape,yes,https://doc.actonma.gov/dsweb/Get/Document-99023/ Marker is up the embankment.jpg
"Acton-Carlisle-Westford, 2024-10-30 15-21, Westford side.jpg",Acton/Carlisle/Westford,2024-10-30 15-21,Westford side,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99024/Acton-Carlisle-Westford%2c 2024-10-30 15-21%2c Westford side.jpg
"Acton-Carlisle-Westford, 2024-10-30 15-21.jpg",Acton/Carlisle/Westford,2024-10-30 15-21,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99019/Acton-Carlisle-Westford%2c 2024-10-30 15-21.jpg
"Acton-Carlisle-Westford, 2024-10-30 15-22, Context showing Main Street in the background.jpg",Acton/Carlisle/Westford,2024-10-30 15-22,Context showing Main Street in the background,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99020/Acton-Carlisle-Westford%2c 2024-10-30 15-22%2c Context showing Main Street in the background.jpg
"Acton-Carlisle-Westford, 2025-06-30 15-00.jpg",Acton/Carlisle/Westford,2025-06-30 15-00,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99021/Acton-Carlisle-Westford%2c 2025-06-30 15-00.jpg
"Acton-Carlisle-Westford, 2025-06-30 15-01, Carlisle side.  Carlisle may have done their painting on a nearby monument..jpg",Acton/Carlisle/Westford,2025-06-30 15-01,Carlisle side.  Carlisle may have done their painting on a nearby monument.,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99025/Acton-Carlisle-Westford%2c 2025-06-30 15-01%2c Carlisle side.  Carlisle may have done their painting on a nearby monument..jpg
"Acton-Carlisle-Westford, 2025-06-30 15-05, After painting..jpg",Acton/Carlisle/Westford,2025-06-30 15-05,After painting.,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99027/Acton-Carlisle-Westford%2c 2025-06-30 15-05%2c After painting..jpg
"Acton-Carlisle-Westford, 2025-06-30 15-08, Closer picture of alternate monument near the A-C-W corner..jpg",Acton/Carlisle/Westford,2025-06-30 15-08,Closer picture of alternate monument near the A-C-W corner.,no,redundant,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99028/Acton-Carlisle-Westford%2c 2025-06-30 15-08%2c Closer picture of alternate monument near the A-C-W corner..jpg
"Acton-Carlisle-Westford, 2025-06-30 15-08, This is not the actual monument (which is nearby) but maybe Carlisle painted here at least once..jpg",Acton/Carlisle/Westford,2025-06-30 15-08,This is not the actual monument (which is nearby) but maybe Carlisle painted here at least once.,no,redundant,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99026/Acton-Carlisle-Westford%2c 2025-06-30 15-08%2c This is not the actual monument (which is nearby) but maybe Carlisle painted here at least once..jpg
"Acton-Carlisle-Westford, 2026-07-06 16-13, The Carlisle-Westford monument that might be confused with the nearby A-C-W corner.jpg",Acton/Carlisle/Westford,2026-07-06 16-13,The Carlisle-Westford monument that might be confused with the nearby A-C-W corner,yes,,monument,,,https://doc.actonma.gov/dsweb/Get/Document-99300/Acton-Carlisle-Westford%2c 2026-07-06 16-13%2c The Carlisle-Westford monument that might be confused with the nearby A-C-W corner.jpg
"Acton-Concord Great Road, 2025-04-23 16-44, 2.jpg",Acton/Concord Great Road,2025-04-23 16-44,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99029/Acton-Concord Great Road%2c 2025-04-23 16-44%2c 2.jpg
"Acton-Concord Great Road, 2025-04-23 16-44, 3.jpg",Acton/Concord Great Road,2025-04-23 16-44,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99030/Acton-Concord Great Road%2c 2025-04-23 16-44%2c 3.jpg
"Acton-Concord Great Road, 2025-04-23 16-44.jpg",Acton/Concord Great Road,2025-04-23 16-44,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99031/Acton-Concord Great Road%2c 2025-04-23 16-44.jpg
"Acton-Concord Great Road, 2025-06-30 15-52.jpg",Acton/Concord Great Road,2025-06-30 15-52,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99032/Acton-Concord Great Road%2c 2025-06-30 15-52.jpg
"Acton-Concord Great Road, 2025-06-30 15-55, First time for Acton writing on this monument.jpg",Acton/Concord Great Road,2025-06-30 15-55,First time for Acton writing on this monument,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99033/Acton-Concord Great Road%2c 2025-06-30 15-55%2c First time for Acton writing on this monument.jpg
"Acton-Concord Keefe Road, 2025-11-28 14-57, 2.jpg",Acton/Concord Keefe Road,2025-11-28 14-57,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-98961/Acton-Concord Keefe Road%2c 2025-11-28 14-57%2c 2.jpg
"Acton-Concord Keefe Road, 2025-11-28 14-57, 3.jpg",Acton/Concord Keefe Road,2025-11-28 14-57,,yes,,monument,landscape,yes,https://doc.actonma.gov/dsweb/Get/Document-98960/Acton-Concord Keefe Road%2c 2025-11-28 14-57%2c 3.jpg
"Acton-Concord Keefe Road, 2025-11-28 14-57.jpg",Acton/Concord Keefe Road,2025-11-28 14-57,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-98962/Acton-Concord Keefe Road%2c 2025-11-28 14-57.jpg
"Acton-Concord Laws Brook Road, 2025-04-23 16-21, 2.jpg",Acton/Concord Laws Brook Road,2025-04-23 16-21,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99034/Acton-Concord Laws Brook Road%2c 2025-04-23 16-21%2c 2.jpg
"Acton-Concord Laws Brook Road, 2025-04-23 16-21, Looking from Concord into Acton.jpg",Acton/Concord Laws Brook Road,2025-04-23 16-21,Looking from Concord into Acton,yes,,monument,landscape,yes,https://doc.actonma.gov/dsweb/Get/Document-99037/Acton-Concord Laws Brook Road%2c 2025-04-23 16-21%2c Looking from Concord into Acton.jpg
"Acton-Concord Laws Brook Road, 2025-04-23 16-21.jpg",Acton/Concord Laws Brook Road,2025-04-23 16-21,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99038/Acton-Concord Laws Brook Road%2c 2025-04-23 16-21.jpg
"Acton-Concord Laws Brook Road, 2025-04-23 16-23, From Acton into Concord.jpg",Acton/Concord Laws Brook Road,2025-04-23 16-23,From Acton into Concord,yes,,monument,landscape,yes,https://doc.actonma.gov/dsweb/Get/Document-99039/Acton-Concord Laws Brook Road%2c 2025-04-23 16-23%2c From Acton into Concord.jpg
"Acton-Concord Laws Brook Road, 2025-06-30 15-41, Painted.jpg",Acton/Concord Laws Brook Road,2025-06-30 15-41,Painted,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99040/Acton-Concord Laws Brook Road%2c 2025-06-30 15-41%2c Painted.jpg
"Acton-Concord Laws Brook Road, 2025-06-30 15-41.jpg",Acton/Concord Laws Brook Road,2025-06-30 15-41,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99041/Acton-Concord Laws Brook Road%2c 2025-06-30 15-41.jpg
"Acton-Concord Old Stow Road, 2025-04-23 15-52, Old road visible to the left of the monument.jpg",Acton/Concord Old Stow Road,2025-04-23 15-52,Old road visible to the left of the monument,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99042/Acton-Concord Old Stow Road%2c 2025-04-23 15-52%2c Old road visible to the left of the monument.jpg
"Acton-Concord Old Stow Road, 2025-04-23 15-52.jpg",Acton/Concord Old Stow Road,2025-04-23 15-52,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99043/Acton-Concord Old Stow Road%2c 2025-04-23 15-52.jpg
"Acton-Concord Old Stow Road, 2025-09-24 11-04.jpg",Acton/Concord Old Stow Road,2025-09-24 11-04,,yes,,monument,landscape,yes,https://doc.actonma.gov/dsweb/Get/Document-99044/Acton-Concord Old Stow Road%2c 2025-09-24 11-04.jpg
"Acton-Concord Old Stow Road, 2025-09-24 11-05.jpg",Acton/Concord Old Stow Road,2025-09-24 11-05,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99045/Acton-Concord Old Stow Road%2c 2025-09-24 11-05.jpg
"Acton-Concord Old Stow Road, 2025-09-24 11-09.jpg",Acton/Concord Old Stow Road,2025-09-24 11-09,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99046/Acton-Concord Old Stow Road%2c 2025-09-24 11-09.jpg
"Acton-Concord Pope Road, 2025-03-25 11-36, 2.jpg",Acton/Concord Pope Road,2025-03-25 11-36,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99047/Acton-Concord Pope Road%2c 2025-03-25 11-36%2c 2.jpg
"Acton-Concord Pope Road, 2025-03-25 11-36.jpg",Acton/Concord Pope Road,2025-03-25 11-36,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99048/Acton-Concord Pope Road%2c 2025-03-25 11-36.jpg
"Acton-Concord Pope Road, 2025-06-30 13-44.jpg",Acton/Concord Pope Road,2025-06-30 13-44,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99049/Acton-Concord Pope Road%2c 2025-06-30 13-44.jpg
"Acton-Concord Pope Road, 2025-06-30 13-46, Paint can demonstration.jpg",Acton/Concord Pope Road,2025-06-30 13-46,Paint can demonstration,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99050/Acton-Concord Pope Road%2c 2025-06-30 13-46%2c Paint can demonstration.jpg
"Acton-Concord Pope Road, 2025-06-30 13-46.jpg",Acton/Concord Pope Road,2025-06-30 13-46,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99051/Acton-Concord Pope Road%2c 2025-06-30 13-46.jpg
"Acton-Concord Pope Road, 2025-06-30 13-48.jpg",Acton/Concord Pope Road,2025-06-30 13-48,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99052/Acton-Concord Pope Road%2c 2025-06-30 13-48.jpg
"Acton-Concord Powder Mill Road (Rte 62), 2025-04-23 15-26, A promising marker and maybe a buried monument.jpg",Acton/Concord Powder Mill Road (Rte 62),2025-04-23 15-26,A promising marker and maybe a buried monument,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99053/Acton-Concord Powder Mill Road (Rte 62)%2c 2025-04-23 15-26%2c A promising marker and maybe a buried monument.jpg
"Acton-Concord Powder Mill Road (Rte 62), 2025-04-23 15-26, Context view of town line sign just beyond steel pipe and possible marker.jpg",Acton/Concord Powder Mill Road (Rte 62),2025-04-23 15-26,Context view of town line sign just beyond steel pipe and possible marker,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99054/Acton-Concord Powder Mill Road (Rte 62)%2c 2025-04-23 15-26%2c Context view of town line sign just beyond steel pipe and possible marker.jpg
"Acton-Concord Rte 2, 2025-04-23 16-31, Ribbons but no town marks.jpg",Acton/Concord Rte 2,2025-04-23 16-31,Ribbons but no town marks,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99055/Acton-Concord Rte 2%2c 2025-04-23 16-31%2c Ribbons but no town marks.jpg
"Acton-Concord Rte 2, 2025-04-23 16-32, Ribbons but no town marks.jpg",Acton/Concord Rte 2,2025-04-23 16-32,Ribbons but no town marks,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99056/Acton-Concord Rte 2%2c 2025-04-23 16-32%2c Ribbons but no town marks.jpg
"Acton-Concord Rte 2, 2025-04-23 16-35, This dammed up area is near the border.jpg",Acton/Concord Rte 2,2025-04-23 16-35,This dammed up area is near the border,yes,,monument,landscape,yes,https://doc.actonma.gov/dsweb/Get/Document-99057/Acton-Concord Rte 2%2c 2025-04-23 16-35%2c This dammed up area is near the border.jpg
"Acton-Concord Rte 2, 2025-04-23 16-39, Another promising marker.jpg",Acton/Concord Rte 2,2025-04-23 16-39,Another promising marker,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99058/Acton-Concord Rte 2%2c 2025-04-23 16-39%2c Another promising marker.jpg
